Image#., Detector_Type, Descriptor_Type, Keypoints, Keypoints(Proceeding Vehical), (Detector)Elapsed_Time, (Descriptor)Elapsed_Time, Matches, MATCHER ELAPSED TIME
4, ORB, SIFT, 500, 109, 7.90708, 66.6423, 79, 0.930035
5, ORB, SIFT, 500, 125, 7.86603, 72.2559, 82, 1.04425
6, ORB, SIFT, 500, 130, 8.051, 84.0739, 95, 1.0704
7, ORB, SIFT, 500, 129, 8.11156, 81.8116, 95, 1.27411
8, ORB, SIFT, 500, 127, 8.2157, 87.8702, 94, 1.11046
9, ORB, SIFT, 500, 128, 8.42382, 80.3548, 94, 1.14246

0, AKAZE, BRISK, 1351, 166, 108.363, 2.11078, 0, 0
1, AKAZE, BRISK, 1327, 157, 106.067, 2.31168, 137, 1.11377
2, AKAZE, BRISK, 1311, 161, 103.108, 1.99469, 125, 1.12029
3, AKAZE, BRISK, 1351, 155, 110.725, 1.97381, 129, 1.05895
4, AKAZE, BRISK, 1360, 163, 102.444, 2.05368, 129, 1.09217
5, AKAZE, BRISK, 1347, 164, 103.297, 2.96516, 131, 0.895226
6, AKAZE, BRISK, 1363, 173, 106.698, 2.13305, 132, 1.18236
7, AKAZE, BRISK, 1331, 175, 107.16, 2.94835, 142, 1.35648
8, AKAZE, BRISK, 1357, 177, 105.218, 2.39664, 146, 1.2208
9, AKAZE, BRISK, 1331, 179, 106.57, 2.17382, 144, 1.16326

0, AKAZE, BRIEF, 1351, 166, 108.588, 1.24529, 0, 0
1, AKAZE, BRIEF, 1327, 157, 101.338, 1.14878, 141, 0.878161
2, AKAZE, BRIEF, 1311, 161, 101.144, 1.15374, 134, 0.861555
3, AKAZE, BRIEF, 1351, 155, 100.705, 1.09655, 131, 0.859258
4, AKAZE, BRIEF, 1360, 163, 111.279, 1.20424, 130, 1.002
5, AKAZE, BRIEF, 1347, 164, 103.271, 1.21583, 134, 0.996801
6, AKAZE, BRIEF, 1363, 173, 104.17, 2.08412, 146, 1.02672
7, AKAZE, BRIEF, 1331, 175, 110.642, 1.2554, 150, 1.01086
8, AKAZE, BRIEF, 1357, 177, 103.865, 1.27872, 148, 0.994644
9, AKAZE, BRIEF, 1331, 179, 102.662, 1.30698, 152, 1.02374

0, AKAZE, ORB, 1351, 166, 109.069, 3.65521, 0, 0
1, AKAZE, ORB, 1327, 157, 104.802, 3.56466, 131, 0.966403
2, AKAZE, ORB, 1311, 161, 103.624, 3.63774, 129, 0.925355
3, AKAZE, ORB, 1351, 155, 101.63, 3.61784, 127, 0.902393
4, AKAZE, ORB, 1360, 163, 111.193, 3.68562, 117, 0.949202
5, AKAZE, ORB, 1347, 164, 102.853, 3.61521, 130, 1.0238
6, AKAZE, ORB, 1363, 173, 103.448, 3.75276, 131, 1.01536
7, AKAZE, ORB, 1331, 175, 110.34, 3.59703, 137, 1.03384
8, AKAZE, ORB, 1357, 177, 101.17, 3.59958, 135, 1.02063
9, AKAZE, ORB, 1331, 179, 99.7129, 3.71304, 145, 1.03605

0, AKAZE, FREAK, 1351, 166, 106.617, 45.3424, 0, 0
1, AKAZE, FREAK, 1327, 157, 102.081, 45.6466, 126, 1.1459
2, AKAZE, FREAK, 1311, 161, 102.052, 45.6518, 129, 1.06946
3, AKAZE, FREAK, 1351, 155, 102.802, 45.5343, 127, 1.0678
4, AKAZE, FREAK, 1360, 163, 103.757, 46.2978, 121, 1.05385
5, AKAZE, FREAK, 1347, 164, 99.2138, 49.7383, 122, 1.14012
6, AKAZE, FREAK, 1363, 173, 102.442, 49.8633, 133, 1.13326
7, AKAZE, FREAK, 1331, 175, 102.165, 50.0978, 144, 1.21652
8, AKAZE, FREAK, 1357, 177, 104.18, 49.7727, 147, 1.29637
9, AKAZE, FREAK, 1331, 179, 104.269, 45.7074, 138, 1.38196

0, AKAZE, AKAZE, 1351, 166, 107.441, 90.1816, 0, 0
1, AKAZE, AKAZE, 1327, 157, 101.568, 86.5895, 138, 1.15697
2, AKAZE, AKAZE, 1311, 161, 94.2867, 89.1754, 138, 1.11704
3, AKAZE, AKAZE, 1351, 155, 98.1632, 85.395, 133, 1.13274
4, AKAZE, AKAZE, 1360, 163, 102.439, 88.0154, 127, 1.1182
5, AKAZE, AKAZE, 1347, 164, 99.5496, 90.9065, 129, 1.17527
6, AKAZE, AKAZE, 1363, 173, 100.664, 89.5085, 146, 1.20684
7, AKAZE, AKAZE, 1331, 175, 99.3251, 89.7373, 147, 1.2959
8, AKAZE, AKAZE, 1357, 177, 98.2219, 98.2839, 151, 1.27211
9, AKAZE, AKAZE, 1331, 179, 106.769, 97.1645, 150, 1.40387

0, AKAZE, SIFT, 1351, 166, 111.912, 32.4633, 0, 0
1, AKAZE, SIFT, 1327, 157, 100.956, 30.9789, 134, 1.4993
2, AKAZE, SIFT, 1311, 161, 107.314, 32.3446, 134, 1.45022
3, AKAZE, SIFT, 1351, 155, 106.879, 31.694, 130, 1.50103
4, AKAZE, SIFT, 1360, 163, 109.256, 31.9593, 136, 1.45468
5, AKAZE, SIFT, 1347, 164, 100.385, 32.9001, 137, 1.53628
6, AKAZE, SIFT, 1363, 173, 99.1686, 32.5947, 147, 1.59722
7, AKAZE, SIFT, 1331, 175, 97.9701, 32.3979, 147, 1.70659
8, AKAZE, SIFT, 1357, 177, 101.159, 32.8169, 154, 1.70834
9, AKAZE, SIFT, 1331, 179, 97.2865, 32.343, 151, 1.71549

0, SIFT, BRISK, 1438, 138, 161.75, 1.70815, 0, 0
1, SIFT, BRISK, 1371, 132, 167.79, 1.70193, 64, 0.835825
2, SIFT, BRISK, 1380, 124, 163.734, 1.67037, 66, 0.764092
3, SIFT, BRISK, 1335, 137, 168.958, 1.81338, 62, 0.806291
4, SIFT, BRISK, 1305, 134, 169.022, 1.77232, 66, 0.84745
5, SIFT, BRISK, 1370, 140, 162.571, 1.75491, 59, 0.860024
6, SIFT, BRISK, 1396, 137, 164.526, 1.73712, 64, 0.869985
7, SIFT, BRISK, 1382, 148, 166.117, 1.80831, 64, 0.943761
8, SIFT, BRISK, 1463, 159, 161.174, 1.94959, 67, 0.991376
9, SIFT, BRISK, 1422, 137, 162.221, 1.7476, 80, 0.999001

0, SIFT, BRIEF, 1438, 138, 168.54, 1.07957, 0, 0
1, SIFT, BRIEF, 1371, 132, 169.366, 1.25837, 86, 0.756791
2, SIFT, BRIEF, 1380, 124, 163.077, 1.14371, 78, 0.738432
3, SIFT, BRIEF, 1335, 137, 166.062, 1.13084, 76, 0.725173
4, SIFT, BRIEF, 1305, 134, 163.141, 1.03546, 85, 0.760251
5, SIFT, BRIEF, 1370, 140, 161.304, 1.11052, 69, 0.728083
6, SIFT, BRIEF, 1396, 137, 164.662, 1.04151, 74, 0.781826
7, SIFT, BRIEF, 1382, 148, 162.166, 1.09001, 76, 0.808579
8, SIFT, BRIEF, 1463, 159, 165.081, 1.18952, 70, 0.859158
9, SIFT, BRIEF, 1422, 137, 168.531, 1.12024, 88, 0.835398

0, SIFT, FREAK, 1438, 138, 163.069, 44.9326, 0, 0
1, SIFT, FREAK, 1371, 132, 168.474, 46.4336, 65, 0.854277
2, SIFT, FREAK, 1380, 124, 158.855, 45.4618, 72, 0.784461
3, SIFT, FREAK, 1335, 137, 169.271, 45.3015, 64, 0.801367
4, SIFT, FREAK, 1305, 134, 166.285, 45.4071, 66, 0.935866
5, SIFT, FREAK, 1370, 140, 168.509, 47.1179, 59, 0.879356
6, SIFT, FREAK, 1396, 137, 162.824, 47.2659, 59, 0.929402
7, SIFT, FREAK, 1382, 148, 164.007, 46.9105, 64, 0.98486
